date,Italy,SK,USA,Italy-TMP,SK-TMP,USA-TMP
20-Jan,0,1,0,,,0.033189359
21-Jan,0,1,1,,,0.042241002
22-Jan,0,1,1,,,0.072413146
23-Jan,0,1,1,,,0.181032865
24-Jan,0,2,1,,,0.340945228
25-Jan,0,2,2,,0.213563309,0.645683884
26-Jan,0,3,2,,0.31063754,0.884043822
27-Jan,0,4,5,,0.485371156,1.116369331
28-Jan,0,4,5,,0.93191262,1.312488268
29-Jan,0,4,5,,1.106646236,1.620244138
30-Jan,0,4,5,,3.630576247,2.392651026
31-Jan,3,7,6,,4.737222483,2.582735534
01-Feb,3,12,7,,7.202907956,3.518072001
02-Feb,3,15,8,,8.328969038,3.617640076
03-Feb,3,15,11,,8.328969038,4.015912378
04-Feb,3,16,11,,11.78481167,4.296513318
05-Feb,3,18,11,,13.86220022,4.61935526
06-Feb,3,23,12,,17.18213892,4.848663555
07-Feb,3,24,12,,21.93877625,5.129264495
08-Feb,3,24,12,,33.02465346,5.367624434
09-Feb,3,25,12,,45.43074021,5.482278581
10-Feb,3,27,12,,53.89561317,5.596932729
11-Feb,3,28,13,,70.45647701,5.889602526
12-Feb,3,28,13,,98.51092983,6.064600962
13-Feb,3,28,14,,112.5478637,6.209427254
14-Feb,3,28,15,,133.0693561,6.333133045
15-Feb,3,28,15,,145.9802289,6.499079837
16-Feb,3,29,15,,153.7461674,6.574510197
17-Feb,3,30,15,,158.6387086,6.680112702
18-Feb,3,31,15,,179.8785504,6.806835707
19-Feb,3,46,15,,202.1279642,7.015023501
20-Feb,3,80,15,,236.1039451,7.193039151
21-Feb,3,155,16,,287.6503619,7.953377182
22-Feb,17,345,35,,380.9386981,8.728801285
23-Feb,79,601,35,,439.416215,8.93698908
24-Feb,132,762,35,73.12444466,555.5558252,9.145176874
25-Feb,229,892,53,145.8261069,712.8354946,9.335261382
26-Feb,322,1146,53,162.1285964,895.5486126,9.664137752
27-Feb,400,1595,59,203.1723123,1125.866934,10.27663228
28-Feb,650,2022,60,265.4227935,1377.289192,11.07921131
29-Feb,888,2931,66,315.5816979,1663.716419,12.186529
01-Mar,1128,3526,69,357.2849543,1882.948863,13.07057282
02-Mar,1689,4212,89,394.7942092,2127.692414,15.04986547
03-Mar,1835,4812,103,437.2584739,2443.377814,17.66579037
04-Mar,2502,5328,125,504.582344,2654.145385,21.39506737
05-Mar,3089,5766,159,547.2833668,2845.070983,26.6782098
06-Mar,3858,6284,233,614.8778177,3198.40177,32.4772959
07-Mar,4636,6767,338,711.3229398,3459.512037,37.42251032
08-Mar,5883,7134,433,844.4993971,3660.047984,42.50953381
09-Mar,7375,7382,554,910.267428,3817.308238,52.14953385
10-Mar,9172,7513,754,1027.547267,4079.913449,62.79124907
11-Mar,10149,7755,1025,1237.12896,4317.76473,75.77733988
12-Mar,12462,7869,1312,1454.557495,4562.450037,94.26079535
13-Mar,15113,7979,1663,1648.648442,4827.443273,114.364495
14-Mar,17660,8086,2174,1846.206204,5073.778843,132.138905
15-Mar,17750,8162,2951,2112.203981,5207.29474,149.2284075
16-Mar,23980,8236,3774,2333.116243,5329.452953,181.3798442
17-Mar,27980,8320,4661,2513.982556,5566.547055,214.2976534
18-Mar,31506,8413,6427,2799.51288,5739.941047,244.871087
19-Mar,35713,8565,9415,3090.995981,5960.823753,273.9117757
20-Mar,41035,8652,14250,3498.710421,6147.98287,300.8555004
21-Mar,47021,8799,19624,3944.086317,6358.536878,316.7139793
22-Mar,53578,8897,26747,4369.912754,6441.457686,330.6716132
23-Mar,59138,8961,35206,4658.520935,6562.916964,356.2394881
24-Mar,63927,9037,46442,5022.046158,6767.665933,1040.070013
25-Mar,69176,9137,55231,5486.785488,6948.495811,1271.852424
26-Mar,74386,9241,69194,6105.992597,7085.292817,1566.954097
27-Mar,80539,9332,85991,6664.386686,7318.639854,1890.686117
28-Mar,86498,9478,104686,7263.841401,7531.504228,2219.77671
29-Mar,92472,9583,124665,7678.235803,7652.186913,2508.364216
30-Mar,97689,9661,143025,8072.759431,7672.630746,2850.827103
31-Mar,101739,9786,164620,8573.486,7971.036932,3164.970416
01-Apr,105792,9786,189618,9156.164709,8184.270189,3469.675882
